seed,dgp,model_key,model,obj_nll,obj_prob_mse,obj_prob_mae,mo_nll,mo_prob_mse,mo_prob_mae,decision_regret,learned_b_global,learned_b_obj0,scorer_noise_sigma0,learned_b_obj1,scorer_noise_sigma1,learned_b_obj2,scorer_noise_sigma2
5,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6275669780861305,0.01449048405696299,0.09628346608518513,0.654086627846463,0.010740052175944814,0.08098019787989998,0.16885096556184997,-0.47330155968666077,-0.42940548062324524,0.7,-0.4686555564403534,0.7,-0.5212612748146057,0.7
5,equal_noise_control,oracle,Oracle latent utility,,,,0.6297306167608318,0.0,0.0,0.0,-0.47330155968666077,-0.42940548062324524,0.7,-0.4686555564403534,0.7,-0.5212612748146057,0.7
6,equal_noise_control,standard,Standard scalarized BT,0.6504109644578369,0.019601725178827547,0.11070793199406741,0.6644871453060252,0.013911306562046014,0.09325578980099518,0.1651086741078045,-0.4017159640789032,-0.2702052593231201,0.7,-0.4681597352027893,0.7,-0.4705202281475067,0.7
6,equal_noise_control,shared_precision,Shared-precision BT,0.63329692099474,0.014340175809241839,0.09501453480920917,0.6561551345145193,0.010992048405491844,0.08214759024470583,0.1651086741078045,-0.4017159640789032,-0.2702052593231201,0.7,-0.4681597352027893,0.7,-0.4705202281475067,0.7
6,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6645271245707394,0.013951500063433264,0.09340700890455171,0.16617442765637092,-0.4017159640789032,-0.2702052593231201,0.7,-0.4681597352027893,0.7,-0.4705202281475067,0.7
6,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6336575581867538,0.014501246387781773,0.09577651201379604,0.6563493931111,0.011067155926153371,0.08247432258349123,0.16617442765637092,-0.4017159640789032,-0.2702052593231201,0.7,-0.4681597352027893,0.7,-0.4705202281475067,0.7
6,equal_noise_control,oracle,Oracle latent utility,,,,0.6313842496208788,0.0,0.0,0.0,-0.4017159640789032,-0.2702052593231201,0.7,-0.4681597352027893,0.7,-0.4705202281475067,0.7
7,equal_noise_control,standard,Standard scalarized BT,0.6471897268206261,0.019610065352908167,0.11065906930216111,0.6674649565748051,0.013839139305489533,0.09250410973587438,0.1653198146955641,-0.6034910678863525,-0.5510272979736328,0.7,-0.6821451187133789,0.7,-0.574312686920166,0.7
7,equal_noise_control,shared_precision,Shared-precision BT,0.6324070913104464,0.014736356595071777,0.09854246215579245,0.6567210238566917,0.010293585270179918,0.07941772264829823,0.1653198146955641,-0.6034910678863525,-0.5510272979736328,0.7,-0.6821451187133789,0.7,-0.574312686920166,0.7
7,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6674753099171418,0.013844254395432538,0.09250897421680733,0.16564280462076802,-0.6034910678863525,-0.5510272979736328,0.7,-0.6821451187133789,0.7,-0.574312686920166,0.7
